State,COMMUTING TO WORK-Workers 16 years and over,"COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- drove alone","Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- drove alone","Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- carpooled","Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- carpooled",Estimate-COMMUTING TO WORK-Workers 16 years and over-Public transportation (excluding taxicab),Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Public transportation (excluding taxicab),Estimate-COMMUTING TO WORK-Workers 16 years and over-Walked,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Walked,Estimate-COMMUTING TO WORK-Workers 16 years and over-Other means,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Other means,Estimate-COMMUTING TO WORK-Workers 16 years and over-Worked at home,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Worked at home,Estimate-COMMUTING TO WORK-Workers 16 years and over-Mean travel time to work (minutes)
Alabama,2051445,1760032,85.8,174391,8.5,6959,0.3,22977,1.1,20205,1,66881,3.3,24.7
Alaska,358627,246808,68.8,43758,12.2,4981,1.4,27575,7.7,18774,5.2,16731,4.7,18.8
Arizona,3008707,2306027,76.6,326774,10.9,57302,1.9,57910,1.9,77966,2.6,182728,6.1,25.3
Arkansas,1274750,1055112,82.8,133980,10.5,4631,0.4,22089,1.7,15481,1.2,43457,3.4,21.7
California,17904213,13203972,73.7,1835455,10.3,910567,5.1,474721,2.7,458688,2.6,1020810,5.7,29.3
Colorado,2822072,2125477,75.3,249461,8.8,86516,3.1,80354,2.8,62050,2.2,218214,7.7,25.5
Connecticut,1780653,1391925,78.2,143527,8.1,84347,4.7,49525,2.8,20763,1.2,90566,5.1,26.3
Delaware,444908,360365,81,36601,8.2,11739,2.6,9518,2.1,5052,1.1,21633,4.9,25.8
District of Columbia,366168,125462,34.3,19531,5.3,127530,34.8,48047,13.1,23193,6.3,22405,6.1,30.3
Florida,9140393,7255390,79.4,841097,9.2,176146,1.9,129987,1.4,203254,2.2,534519,5.8,27.4
Georgia,4667378,3708394,79.5,456908,9.8,99181,2.1,69380,1.5,79013,1.7,254502,5.5,28.4
Hawaii,700228,468932,67,97951,14,45326,6.5,31742,4.5,22925,3.3,33352,4.8,27.4
Idaho,757408,595426,78.6,75430,10,5418,0.7,19434,2.6,15694,2.1,46006,6.1,20.7
Illinois,6124144,4476231,73.1,486708,7.9,578636,9.4,182578,3,109262,1.8,290729,4.7,29
Indiana,3107072,2578594,83,272480,8.8,31522,1,64980,2.1,42893,1.4,116603,3.8,23.6
Iowa,1583271,1285034,81.2,131548,8.3,17435,1.1,51801,3.3,22181,1.4,75272,4.8,19.1
Kansas,1422992,1169866,82.2,129959,9.1,6898,0.5,33452,2.4,19435,1.4,63382,4.5,19.3
Kentucky,1929677,1584648,82.1,184705,9.6,20400,1.1,42943,2.2,27279,1.4,69702,3.6,23.3
Louisiana,2007599,1660274,82.7,187105,9.3,25582,1.3,36198,1.8,38150,1.9,60290,3,25.5
Maine,651799,511466,78.5,62978,9.7,4159,0.6,25602,3.9,10069,1.5,37525,5.8,24
Maryland,3021967,2233034,73.9,273373,9,258397,8.6,70350,2.3,44388,1.5,142425,4.7,32.9
Massachusetts,3500223,2458064,70.2,262975,7.5,358143,10.2,171603,4.9,73404,2.1,176034,5,29.7
Michigan,4504994,3714050,82.4,396427,8.8,61568,1.4,101150,2.2,56802,1.3,174997,3.9,24.5
Minnesota,2879806,2243581,77.9,244564,8.5,103390,3.6,78319,2.7,47012,1.6,162940,5.7,23.5
Mississippi,1215697,1037238,85.3,111401,9.2,3393,0.3,17028,1.4,18858,1.6,27779,2.3,24.6
Missouri,2855663,2338107,81.9,250024,8.8,40311,1.4,55495,1.9,33976,1.2,137750,4.8,23.6
Montana,499849,378154,75.7,48075,9.6,3852,0.8,25889,5.2,11376,2.3,32503,6.5,18
Nebraska,980914,803715,81.9,88467,9,6531,0.7,26141,2.7,12516,1.3,43544,4.4,18.6
Nevada,1351950,1056958,78.2,139518,10.3,46574,3.4,25750,1.9,29612,2.2,53538,4,24.3
New Hampshire,707037,571653,80.9,55820,7.9,5806,0.8,19003,2.7,9493,1.3,45262,6.4,27.3
New Jersey,4303118,3071526,71.4,344699,8,494549,11.5,125663,2.9,78251,1.8,188430,4.4,31.7
New Mexico,880271,706167,80.2,88207,10,10139,1.2,18023,2,15267,1.7,42468,4.8,22.1
New York,9246571,4913896,53.1,601311,6.5,2591512,28,569444,6.2,181239,2,389169,4.2,33.3
North Carolina,4660377,3781646,81.1,434180,9.3,47381,1,85152,1.8,58980,1.3,253038,5.4,24.5
North Dakota,398937,325252,81.5,34507,8.6,2150,0.5,13631,3.4,4474,1.1,18923,4.7,17.1
Ohio,5442764,4526389,83.2,423056,7.8,87570,1.6,121728,2.2,63706,1.2,220315,4,23.5
Oklahoma,1748344,1440542,82.4,174462,10,7428,0.4,31322,1.8,24342,1.4,70248,4,21.7
Oregon,1895393,1356677,71.6,188867,10,85300,4.5,71623,3.8,63163,3.3,129763,6.8,23.7
Pennsylvania,6032013,4593109,76.1,511844,8.5,337633,5.6,223371,3.7,85632,1.4,280424,4.6,26.9
Rhode Island,515872,413105,80.1,44694,8.7,12915,2.5,18556,3.6,6172,1.2,20430,4,24.8
South Carolina,2215014,1825021,82.4,208135,9.4,11816,0.5,46140,2.1,32002,1.4,91900,4.1,24.6
South Dakota,436525,350530,80.3,37944,8.7,2448,0.6,15269,3.5,5278,1.2,25056,5.7,17
Tennessee,3003226,2503496,83.4,269408,9,21786,0.7,39970,1.3,37914,1.3,130652,4.4,25
Texas,12842820,10345804,80.6,1305195,10.2,184848,1.4,196708,1.5,206213,1.6,604052,4.7,26.4
Utah,1433444,1088975,76,159902,11.2,35349,2.5,36297,2.5,24655,1.7,88266,6.2,21.7
Vermont,321624,244038,75.9,27960,8.7,3971,1.2,17852,5.6,5528,1.7,22275,6.9,22.9
Virginia,4152433,3205870,77.2,382324,9.2,184405,4.4,99787,2.4,72326,1.7,207721,5,28.4
Washington,3485339,2506808,71.9,346825,10,225913,6.5,125965,3.6,72652,2.1,207176,5.9,27.6
West Virginia,727792,600897,82.6,66722,9.2,6627,0.9,20940,2.9,8393,1.2,24213,3.3,25.8
Wisconsin,2920388,2369044,81.1,232054,7.9,51391,1.8,89410,3.1,47005,1.6,131484,4.5,22
Wyoming,287175,222984,77.6,28692,10,3774,1.3,11285,3.9,5589,1.9,14851,5.2,17.8