State,state_code,U.S. State Population 2019 Estimate,"U.S. State Land Area (Square Miles)",State Population Per Square Mile
Alabama,AL,4903185,50645.33,96.81415838
Alaska,AK,731545,570640.95,1.281970738
Arizona,AZ,7278717,113594.08,64.07655223
Arkansas,AR,3017804,52035.48,57.99512179
California,CA,39512223,155779.22,253.6424499
Colorado,CO,5758736,103641.89,55.56378796
Connecticut,CT,"3,565,287",4842.36,736.2705375
D.C.,DC,705749,61.05,11560.18018
Delaware,DE,973764,1948.54,499.7403184
Florida,FL,21477737,53624.76,400.5190326
Georgia,GA,10617423,57513.49,184.6075243
Hawaii,HI,1415872,6422.63,220.4505008
Idaho,ID,1787065,82643.12,21.62388109
Illinois ,IL,12671821,55518.93,228.2432496
Indiana  ,IN,6732219,35826.11,187.913759
Iowa,IA,3155070,55857.13,56.48464216
Kansas,KS,2913314,81758.72,35.63306764
Kentucky,KY,4467673,39486.34,113.1447736
Louisiana,LA,4648794,43203.9,107.6012582
Maine,ME,1344212,30842.92,43.58251424
Maryland,MD,6045680,9707.24,622.8011258
Massachusetts,MA,"6,892,503",7800.06,883.6474335
Michigan ,MI,9986857,56538.9,176.6369172
Minnesota,MN,5639632,79626.74,70.82585574
Mississippi,MS,2976149,46923.27,63.42586525
Missouri,MO,6137428,68741.52,89.28269261
Montana,MT,1068778,145545.8,7.343241784
Nebraska,NE,1934408,76824.17,25.17967978
Nevada,NV,3080156,109781.18,28.05723167
New Hampshire,NH,"1,359,711",8952.65,151.8780473
New Jersey  ,NJ,8882190,7354.22,1207.767785
New Mexico,NM,2096829,121298.15,17.28657032
New York,NY,"19,453,561",47126.4,412.7953971
North Carolina,NC,10488084,48617.91,215.724699
North Dakota,ND,762062,69000.8,11.04424876
Ohio  ,OH,11689100,40860.69,286.0720169
Oklahoma,OK,3956971,68594.92,57.6860648
Oregon,OR,4217737,95988.01,43.94024837
Pennsylvania,PA,12801989,44742.7,286.1246416
Rhode Island,RI,"1,059,361",1033.81,1024.715373
South Carolina,SC,5148714,30060.7,171.277249
South Dakota,SD,884659,75811,11.66926963
Tennessee,TN,6829174,41234.9,165.616359
Texas,TX,28995881,261231.71,110.996789
Utah,UT,3205958,82169.62,39.01634205
Vermont,VT,"623,989",9216.66,67.70229129
Virginia,VA,8535519,39490.09,216.143316
Washington,WA,7614893,66455.52,114.5863128
West Virginia,WV,1792147,24038.21,74.55409533
Wisconsin  ,WI,5822434,54157.8,107.5086876
Wyoming,WY,578759,97093.14,5.96086397