state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,MedianIncome2017,Election Results Coding,Number code,2016 result,avg_commute_time,avg_commute_time_public_transport,COMMUTING TO WORK-Workers 16 years and over,"COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- drove alone","Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- drove alone","Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- carpooled","Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- carpooled",Estimate-COMMUTING TO WORK-Workers 16 years and over-Public transportation (excluding taxicab),Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Public transportation (excluding taxicab),Estimate-COMMUTING TO WORK-Workers 16 years and over-Walked,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Walked,Estimate-COMMUTING TO WORK-Workers 16 years and over-Other means,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Other means,Estimate-COMMUTING TO WORK-Workers 16 years and over-Worked at home,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Worked at home,Estimate-COMMUTING TO WORK-Workers 16 years and over-Mean travel time to work (minutes),Labour Overall Index Score,Labour Overall Index Ranking,Wage Dimension Score,Worker Protection Dimension Score,Right to Organize Dimension Score,Wage Dimension Score 2019,Wage Dimension ranking 2019,MIT Living Wage 2019,Minimum Wage 2019,Wage Ratio (Living wage/Minimum wage),Local Control of Min. Wage 2019 (1=Yes),Worker Protection Dimension 2020 Score,Worker Protection Dimension 2020 Ranking,"Family Leave Indicator (Job-protected leave for non-FMLA Workers < 1 year on job_0.5=Yes, 0.25=Yes for Pregnant Workers only)",Family Leave Indicator ( Job-protected leave longer than Federal FMLA),Paid Family Leave (Yes=1),Paid Sick Leave Indicator Law in Place (1=Yes),Flexible Scheduling (yes=1),Reporting Pay (yes=1),Split Shift Pay 2019 (yes=1),Advanced Shift Notice 2019 (yes=1),Annual State GDP for 2019,U.S. State Population 2019 Estimate,U.S. State Land Area (Square Miles),State Population Per Square Mile,Unemployment Rate Jan 2020,Unemployment Rate Feb 2020,Unemployment Rate Mar 2020,Unemployment Rate Apr 2020,Unemployment Rate May 2020,Unemployment Rate Jun 2020,Unemployment Rate Jul 2020,Unemployment Rate Aug 2020,Unemployment Rate Sept 2020,Unemployment Rate Oct 2020,Unemployment Rate Nov 2020,Unemployment Rate Dec 2020,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander,Multiple Races,Senior Population,Young Population,Male Population,Median household income,Poverty rate
AK,2020-04-30,353,7,18,0,43,50,33,33,-16.0,0.0,44.0,-39.0,-37.0,14.0,Government,79.3,No,No,No,73181,AllR,1,R,18.5,51.6,358627,246808,68.8,43758,12.2,4981,1.4,27575,7.7,18774,5.2,16731,4.7,18.8,55.51088958,19,44.31044652,22.22222222,100.0,44.31044652,19,26.94,9.89,0.367112101,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0,55406100000.0,731545,570640.95,1.281970738,6.0,5.8,5.2,13.5,12.7,12.4,11.6,7.4,7.2,5.9,6.3,5.8,0.6,0.022,0.07,0.06,0.151,0.015,0.083,12.4,21.0,52.0,75463,10.1
AL,2020-04-30,7068,272,1236,75,43,48,nan,26,-18.0,3.0,15.0,-18.0,-37.0,14.0,Government,393.5,No,No,No,48123,AllR,1,R,24.3,46.2,2051445,1760032,85.8,174391,8.5,6959,0.3,22977,1.1,20205,1.0,66881,3.3,24.7,7.751966773,49,17.70034476,5.555555556,0.0,17.70034476,32,23.92,7.25,0.303093645,0,5.555555556,49,0.0,0.0,0,0,0,0,0,0,230968000000.0,4903185,50645.33,96.81415838,2.7,2.7,3.0,13.8,9.6,7.6,7.9,5.6,6.7,5.7,4.4,3.9,0.654,0.265,0.044,0.014,0.004,,0.019,17.4,18.3,48.3,51734,15.5
AR,2020-04-30,3281,61,682,16,43,50,nan,nan,-8.0,11.0,80.0,-14.0,-34.0,10.0,Trade Transportation and Utilities,253.2,No,No,No,45869,AllR,1,R,21.2,34.8,1274750,1055112,82.8,133980,10.5,4631,0.4,22089,1.7,15481,1.2,43457,3.4,21.7,35.50651656,32,53.74177191,30.55555556,22.22222222,53.74177191,14,23.73,9.25,0.389801938,0,30.55555556,25,0.0,0.0,0,0,0,0,0,0,133181000000.0,3017804,52035.48,57.99512179,3.5,3.5,5.0,10.8,9.6,8.1,7.1,7.4,7.2,6.2,6.3,4.2,0.721,0.152,0.078,0.016,0.006,0.004,0.024,17.4,19.2,48.9,48952,16.2
AZ,2020-04-30,7648,320,1879,63,43,50,nan,30,-30.0,-8.0,-19.0,-36.0,-46.0,16.0,Trade Transportation and Utilities,551.3,No,Yes,Yes,56581,AllR,1,R,25.2,51.3,3008707,2306027,76.6,326774,10.9,57302,1.9,57910,1.9,77966,2.6,182728,6.1,25.3,51.70533825,21,94.00490363,38.88888889,22.22222222,94.00490363,4,25.79,11.0,0.426521908,1,38.88888889,19,0.0,0.0,0,1,0,0,0,0,366190000000.0,7278717,113594.08,64.07655223,4.5,4.5,6.1,13.4,9.0,10.0,10.7,5.9,6.5,7.9,8.0,7.5,0.542,0.043,0.318,0.033,0.039,0.002,0.024,18.0,18.7,49.7,62055,13.5
CA,2020-04-30,50470,2057,10936,509,43,57,42,42,-47.0,-12.0,-24.0,-50.0,-50.0,21.0,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,71805,AllD,5,D,29.4,51.4,17904213,13203972,73.7,1835455,10.3,910567,5.1,474721,2.7,458688,2.6,1020810,5.7,29.3,90.32074918,2,79.29558088,91.66666667,100.0,79.29558088,6,30.68,12.0,0.391134289,1,91.66666667,1,0.25,0.25,1,1,0,1,1,1,3137470000000.0,39512223,155779.22,253.6424499,3.9,3.9,5.5,16.4,16.4,14.9,13.5,11.2,11.1,9.0,8.1,9.0,0.364,0.053,0.395,0.147,0.004,0.004,0.033,14.8,18.7,49.7,80440,11.8
CO,2020-04-30,15207,775,3945,218,43,50,35,35,-32.0,-10.0,40.0,-48.0,-51.0,19.0,Trade Transportation and Utilities,481.5,No,No,No,69117,MostD,4,D,24.9,43.2,2822072,2125477,75.3,249461,8.8,86516,3.1,80354,2.8,62050,2.2,218214,7.7,25.5,70.21292061,14,82.86098406,44.44444444,83.33333333,82.86098406,5,27.77,11.1,0.399711919,1,44.44444444,16,0.0,0.0,0,0,0,0,0,0,390284000000.0,5758736,103641.89,55.56378796,2.5,2.5,5.2,12.2,10.2,10.6,7.4,6.7,6.4,6.4,6.4,8.4,0.678,0.038,0.218,0.032,0.005,0.001,0.028,14.7,18.1,50.4,77127,9.3
CT,2020-04-30,27700,2257,4600,618,43,51,38,38,-42.0,-18.0,-24.0,-55.0,-51.0,23.0,Education and Health Services,345.1,Yes,Yes,Yes,74168,AllD,5,D,25.0,46.9,1780653,1391925,78.2,143527,8.1,84347,4.7,49525,2.8,20763,1.2,90566,5.1,26.3,74.14720974,9,43.27496257,79.16666667,100.0,43.27496257,20,27.7,10.1,0.364620939,0,79.16666667,5,0.5,0.5,0,1,0,1,0,0,285640000000.0,3565287,4842.36,736.2705375,3.7,3.8,3.4,8.3,9.6,10.1,10.2,8.1,7.7,6.1,8.2,8.0,0.657,0.1,0.169,0.046,0.002,,0.026,17.6,16.6,48.9,78833,10.0
DC,2020-04-30,4323,224,962,85,43,50,36,29,-66.0,-39.0,-77.0,-81.0,-71.0,31.0,Government,239.7,Yes,Yes,Yes,82372,AllD,5,D,43.6,51.2,366168,125462,34.3,19531,5.3,127530,34.8,48047,13.1,23193,6.3,22405,6.1,30.3,96.75925926,1,100.0,90.27777778,100.0,100.0,1,31.75,14.0,0.440944882,1,90.27777778,2,0.5,0.5,1,1,0,1,1,1,146194000000.0,705749,61.05,11560.18018,5.2,5.1,6.0,11.7,8.8,8.7,8.5,8.6,9.0,8.3,7.5,7.9,0.367,0.45,0.112,0.037,0.003,,0.031,12.4,15.9,47.4,92266,13.5
DE,2020-04-30,4734,152,1426,60,43,48,37,37,-38.0,-20.0,-32.0,-48.0,-48.0,21.0,Trade Transportation and Utilities,82.8,No,No,No,62852,AllD,5,D,25.9,43.1,444908,360365,81.0,36601,8.2,11739,2.6,9518,2.1,5052,1.1,21633,4.9,25.8,61.74495202,16,35.23485605,50.0,100.0,35.23485605,25,26.79,9.25,0.345278089,0,50.0,14,0.0,0.0,0,0,0,0,0,0,75415500000.0,973764,1948.54,499.7403184,4.0,3.9,5.0,14.9,15.9,12.6,10.5,8.9,8.3,5.6,5.1,5.3,0.614,0.218,0.097,0.039,0.003,,0.028,19.5,17.4,48.3,70176,11.3
FL,2020-04-30,33683,1267,4043,281,43,52,nan,27,-40.0,-19.0,-47.0,-53.0,-46.0,19.0,Trade Transportation and Utilities,"1,823.00",No,No,No,52594,Tie,3,R,27.4,48.6,9140393,7255390,79.4,841097,9.2,176146,1.9,129987,1.4,203254,2.2,534519,5.8,27.4,27.28284799,37,26.29298841,22.22222222,33.33333333,26.29298841,29,26.13,8.46,0.323765786,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0,1093350000000.0,21477737,53624.76,400.5190326,2.8,2.8,4.4,13.8,13.7,10.3,11.4,7.3,7.2,6.4,6.3,6.1,0.53,0.15,0.266,0.027,0.002,0.001,0.024,20.9,16.4,48.9,59227,12.7
GA,2020-04-30,25431,1121,4526,250,43,47,nan,27,-23.0,-4.0,-15.0,-44.0,-45.0,18.0,Trade Transportation and Utilities,954.3,No,No,No,56183,AllR,1,R,28.5,50.2,4667378,3708394,79.5,456908,9.8,99181,2.1,69380,1.5,79013,1.7,254502,5.5,28.4,11.4775306,48,9.432591814,13.88888889,11.11111111,9.432591814,50,25.6,7.25,0.283203125,0,13.88888889,48,0.0,0.0,0,0,0,0,0,0,616333000000.0,10617423,57513.49,184.6075243,3.1,3.1,4.6,12.6,9.4,7.6,7.6,5.7,6.3,4.5,5.7,5.6,0.52,0.313,0.098,0.041,0.002,0.001,0.025,14.3,19.5,48.7,61980,13.3
HI,2020-04-30,609,16,19,4,43,57,36,36,-48.0,-25.0,-57.0,-65.0,-46.0,21.0,Leisure and Hospitality,127.6,No,No,No,77765,AllD,5,D,27.5,50.9,700228,468932,67.0,97951,14.0,45326,6.5,31742,4.5,22925,3.3,33352,4.8,27.4,58.49872048,17,21.32949478,54.16666667,100.0,21.32949478,30,32.39,10.1,0.311824637,0,54.16666667,11,0.5,0.0,0,0,0,0,0,0,97281700000.0,1415872,6422.63,220.4505008,2.7,2.7,2.4,23.8,23.5,13.4,13.5,13.0,15.0,14.2,10.4,9.3,0.204,0.012,0.103,0.394,0.001,0.102,0.184,19.0,17.8,50.0,83102,9.3
IA,2020-04-30,7145,162,3206,66,43,44,nan,nan,-25.0,5.0,154.0,-12.0,-40.0,15.0,Trade Transportation and Utilities,308.2,No,No,No,58570,Tie,3,R,19.1,30.5,1583271,1285034,81.2,131548,8.3,17435,1.1,51801,3.3,22181,1.4,75272,4.8,19.1,24.45636696,40,15.73021198,24.30555556,33.33333333,15.73021198,39,24.3,7.25,0.298353909,0,24.30555556,35,0.25,0.0,0,0,0,0,0,0,194789000000.0,3155070,55857.13,56.48464216,2.8,2.8,3.3,11.0,10.2,8.4,6.8,6.3,4.8,3.7,3.8,3.1,0.853,0.039,0.063,0.023,0.003,0.001,0.019,17.5,19.0,49.8,61691,11.2
ID,2020-04-30,2016,63,180,9,43,48,36,36,-22.0,-2.0,56.0,-19.0,-41.0,14.0,Trade Transportation and Utilities,145.7,No,No,No,52225,AllD,5,R,20.3,56.3,757408,595426,78.6,75430,10.0,5418,0.7,19434,2.6,15694,2.1,46006,6.1,20.7,19.99566308,45,9.986989242,22.22222222,27.77777778,9.986989242,48,25.48,7.25,0.284536892,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0,80911000000.0,1787065,82643.12,21.62388109,2.8,2.7,2.5,11.8,9.0,5.8,5.1,4.2,6.1,5.5,4.9,4.4,0.816,0.007,0.129,0.012,0.009,,0.026,16.2,20.7,50.3,60999,11.2
IL,2020-04-30,52918,2361,15983,665,43,52,40,40,-35.0,-3.0,-4.0,-49.0,-50.0,21.0,Trade Transportation and Utilities,1206.2,No,No,No,62992,AllD,5,D,29.1,49.6,6124144,4476231,73.1,486708,7.9,578636,9.4,182578,3.0,109262,1.8,290729,4.7,29.0,63.40785708,15,45.77912679,44.44444444,100.0,45.77912679,18,26.57,8.25,0.310500565,1,44.44444444,16,0.0,0.0,0,0,0,0,0,0,897124000000.0,12671821,55518.93,228.2432496,3.5,3.4,4.2,17.2,15.3,14.5,11.5,11.0,10.4,7.4,6.9,7.6,0.609,0.136,0.176,0.056,0.001,0.001,0.022,16.1,18.3,49.1,69187,11.5
IN,2020-04-30,18099,1114,4903,303,43,55,36,36,-27.0,-3.0,4.0,-22.0,-44.0,19.0,Trade Transportation and Utilities,602,No,No,No,54181,MostR,2,R,23.0,40.1,3107072,2578594,83.0,272480,8.8,31522,1.0,64980,2.1,42893,1.4,116603,3.8,23.6,38.11528584,29,17.12363528,30.55555556,66.66666667,17.12363528,34,24.03,7.25,0.301706201,0,30.55555556,25,0.0,0.0,0,0,0,0,0,0,377104000000.0,6732219,35826.11,187.913759,3.1,3.1,3.0,17.5,12.3,11.1,7.9,6.4,6.3,5.5,5.1,4.3,0.786,0.092,0.072,0.024,0.002,,0.023,16.1,19.3,49.3,57603,11.9
KS,2020-04-30,4305,133,1679,21,43,49,nan,31,-24.0,-4.0,136.0,-13.0,-43.0,16.0,Trade Transportation and Utilities,268.2,No,No,No,56422,AllR,1,R,19.7,42.4,1422992,1169866,82.2,129959,9.1,6898,0.5,33452,2.4,19435,1.4,63382,4.5,19.3,23.47473419,41,14.86864702,22.22222222,33.33333333,14.86864702,41,24.47,7.25,0.296281161,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0,173143000000.0,2913314,81758.72,35.63306764,3.1,3.1,2.8,11.9,10.0,7.5,7.2,6.9,5.9,5.0,5.1,3.8,0.757,0.055,0.122,0.028,0.006,,0.032,16.4,20.1,49.6,62087,11.4
KY,2020-04-30,4708,240,1160,46,43,55,35,35,-24.0,1.0,-1.0,-28.0,-44.0,17.0,Trade Transportation and Utilities,400.8,No,No,No,48375,AllR,1,R,23.5,47.5,1929677,1584648,82.1,184705,9.6,20400,1.1,42943,2.2,27279,1.4,69702,3.6,23.3,36.45567048,30,17.70034476,30.55555556,61.11111111,17.70034476,32,23.92,7.25,0.303093645,0,30.55555556,25,0.0,0.0,0,0,0,0,0,0,214671000000.0,4467673,39486.34,113.1447736,4.3,4.2,5.2,16.6,10.9,4.4,4.5,7.5,5.6,7.3,5.7,6.0,0.845,0.08,0.037,0.016,0.001,,0.02,16.9,18.5,49.2,52295,16.3
LA,2020-04-30,28044,1905,2246,306,43,50,38,38,-22.0,3.0,-2.0,-34.0,-39.0,15.0,Trade Transportation and Utilities,378.1,No,No,No,46145,AllR,1,R,25.4,42.1,2007599,1660274,82.7,187105,9.3,25582,1.3,36198,1.8,38150,1.9,60290,3.0,25.5,23.16408099,42,12.54779853,40.27777778,16.66666667,12.54779853,45,24.94,7.25,0.290697674,0,40.27777778,18,0.25,0.25,0,0,0,0,0,0,263857000000.0,4648794,43203.9,107.6012582,5.3,5.2,6.7,15.1,14.2,9.5,9.4,7.7,8.0,9.4,8.5,7.2,0.588,0.319,0.052,0.017,0.005,,0.019,16.0,19.5,48.8,51073,19.0
MA,2020-04-30,62205,3562,16182,1202,43,51,37,37,-47.0,-20.0,-23.0,-70.0,-58.0,26.0,Education and Health Services,824.2,Yes,Yes,Yes,77385,AllD,5,D,30.2,48.5,3500223,2458064,70.2,262975,7.5,358143,10.2,171603,4.9,73404,2.1,176034,5.0,29.7,85.23548296,4,72.37311554,83.33333333,100.0,72.37311554,8,27.61,12.0,0.434625136,0,83.33333333,3,0.5,0.0,1,1,0,1,0,0,595559000000.0,6892503,7800.06,883.6474335,2.8,2.8,2.8,16.2,16.6,17.7,16.2,11.4,9.8,7.4,6.7,7.4,0.705,0.07,0.124,0.067,0.002,0.001,0.032,17.0,16.1,48.5,85843,9.4
MD,2020-04-30,21825,1139,6020,391,43,56,38,31,-44.0,-27.0,-44.0,-62.0,-57.0,27.0,Government,504.2,No,Yes,Yes,80776,AllD,5,D,30.7,49.9,3021967,2233034,73.9,273373,9.0,258397,8.6,70350,2.3,44388,1.5,142425,4.7,32.9,70.55348996,13,58.88269209,52.77777778,100.0,58.88269209,12,29.53,10.1,0.342025059,1,52.77777778,13,0.0,0.0,0,1,0,0,0,0,428339000000.0,6045680,9707.24,622.8011258,3.3,3.3,3.3,10.1,10.0,8.3,7.8,7.0,7.6,7.7,6.8,6.3,0.499,0.296,0.106,0.064,0.002,,0.032,15.9,18.3,48.4,86738,9.0
ME,2020-04-30,1095,53,158,9,43,46,36,29,-33.0,-7.0,10.0,-43.0,-42.0,17.0,Education and Health Services,130.2,No,No,Yes,56277,AllD,5,D,22.9,38.2,651799,511466,78.5,62978,9.7,4159,0.6,25602,3.9,10069,1.5,37525,5.8,24.0,83.98770175,5,97.79643857,54.16666667,100.0,97.79643857,2,25.25,11.0,0.435643564,1,54.16666667,11,0.5,0.0,0,0,0,0,0,0,67518600000.0,1344212,30842.92,43.58251424,3.1,3.2,3.0,10.4,9.4,6.7,9.9,7.0,6.1,5.4,4.9,4.9,0.932,0.014,0.017,0.011,0.007,,0.019,21.3,14.9,48.8,58924,10.9
