state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,MedianIncome2017,Election Results Coding,Number code,2016 result,avg_commute_time,avg_commute_time_public_transport,COMMUTING TO WORK-Workers 16 years and over,"COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- drove alone","Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- drove alone","Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- carpooled","Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- carpooled",Estimate-COMMUTING TO WORK-Workers 16 years and over-Public transportation (excluding taxicab),Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Public transportation (excluding taxicab),Estimate-COMMUTING TO WORK-Workers 16 years and over-Walked,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Walked,Estimate-COMMUTING TO WORK-Workers 16 years and over-Other means,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Other means,Estimate-COMMUTING TO WORK-Workers 16 years and over-Worked at home,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Worked at home,Estimate-COMMUTING TO WORK-Workers 16 years and over-Mean travel time to work (minutes),Labour Overall Index Score,Labour Overall Index Ranking,Wage Dimension Score,Worker Protection Dimension Score,Right to Organize Dimension Score,Wage Dimension Score 2019,Wage Dimension ranking 2019,MIT Living Wage 2019,Minimum Wage 2019,Wage Ratio (Living wage/Minimum wage),Local Control of Min. Wage 2019 (1=Yes),Worker Protection Dimension 2020 Score,Worker Protection Dimension 2020 Ranking,"Family Leave Indicator (Job-protected leave for non-FMLA Workers < 1 year on job_0.5=Yes, 0.25=Yes for Pregnant Workers only)",Family Leave Indicator ( Job-protected leave longer than Federal FMLA),Paid Family Leave (Yes=1),Paid Sick Leave Indicator Law in Place (1=Yes),Flexible Scheduling (yes=1),Reporting Pay (yes=1),Split Shift Pay 2019 (yes=1),Advanced Shift Notice 2019 (yes=1),Annual State GDP for 2019,U.S. State Population 2019 Estimate,U.S. State Land Area (Square Miles),State Population Per Square Mile,Unemployment Rate Jan 2020,Unemployment Rate Feb 2020,Unemployment Rate Mar 2020,Unemployment Rate Apr 2020,Unemployment Rate May 2020,Unemployment Rate Jun 2020,Unemployment Rate Jul 2020,Unemployment Rate Aug 2020,Unemployment Rate Sept 2020,Unemployment Rate Oct 2020,Unemployment Rate Nov 2020,Unemployment Rate Dec 2020,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander,Multiple Races,Senior Population,Young Population,Male Population,Median household income,Poverty rate
MI,2020-04-30,41348,3788,6095,811,43,29,38,37,-39.0,-13.0,6.0,-48.0,-57.0,23.0,Trade Transportation and Utilities,805.6,No,No,Yes,54909,MostD,4,R,24.4,43.2,4504994,3714050,82.4,396427,8.8,61568,1.4,101150,2.2,56802,1.3,174997,3.9,24.5,38.38044125,28,54.03021263,27.77777778,33.33333333,54.03021263,13,24.2,9.45,0.390495868,0,27.77777778,33,0.0,0.0,0,0,0,0,0,0,541551000000.0,9986857,56538.9,176.6369172,3.8,3.6,4.3,24.0,21.3,14.9,8.7,8.7,8.6,6.1,7.0,7.5,0.749,0.134,0.053,0.032,0.005,,0.027,17.7,17.7,49.2,59584,13.0
MN,2020-04-30,5136,343,2194,143,43,48,nan,33,-30.0,-4.0,127.0,-47.0,-48.0,18.0,Education and Health Services,549.1,No,No,No,68388,AllD,5,D,23.7,37.9,2879806,2243581,77.9,244564,8.5,103390,3.6,78319,2.7,47012,1.6,162940,5.7,23.5,74.11829487,10,73.74377349,48.61111111,100.0,73.74377349,7,26.1,9.86,0.377777778,1,48.61111111,15,0.5,0.0,0,0,0,0,0,0,380855000000.0,5639632,79626.74,70.82585574,3.2,3.1,2.9,8.7,9.9,8.6,7.6,7.4,5.9,4.6,4.5,4.4,0.791,0.064,0.056,0.049,0.009,,0.03,16.3,19.2,49.7,74593,9.0
MO,2020-04-30,7563,341,1242,93,43,48,nan,24,-21.0,3.0,79.0,-22.0,-43.0,15.0,Trade Transportation and Utilities,543.1,No,No,No,53578,AllR,1,R,23.8,49.1,2855663,2338107,81.9,250024,8.8,40311,1.4,55495,1.9,33976,1.2,137750,4.8,23.6,40.22631361,26,31.79005195,22.22222222,66.66666667,31.79005195,26,25.52,8.6,0.336990596,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0,332082000000.0,6137428,68741.52,89.28269261,3.5,3.5,3.9,10.2,10.1,7.8,6.9,7.0,4.8,4.6,4.5,5.8,0.794,0.112,0.043,0.021,0.004,0.001,0.026,17.2,18.6,49.0,57409,12.9
MS,2020-04-30,6815,261,1662,60,43,47,27,27,-10.0,6.0,15.0,-14.0,-35.0,12.0,Government,243.7,No,No,No,43529,AllR,1,R,23.0,38.6,1215697,1037238,85.3,111401,9.2,3393,0.3,17028,1.4,18858,1.6,27779,2.3,24.6,7.180489298,50,15.98591234,0.0,5.555555556,15.98591234,37,24.25,7.25,0.298969072,0,0.0,51,0.0,0.0,0,0,0,0,0,0,118780000000.0,2976149,46923.27,63.42586525,5.5,5.4,5.1,16.3,10.5,8.8,9.4,7.8,7.2,7.4,6.3,6.2,0.566,0.376,0.03,0.01,0.004,,0.014,16.4,19.5,48.2,45792,19.6
MT,2020-04-30,452,16,10,2,43,49,33,33,-23.0,5.0,43.0,-21.0,-35.0,12.0,Trade Transportation and Utilities,96,No,No,No,53386,AllR,1,R,17.3,33.9,499849,378154,75.7,48075,9.6,3852,0.8,25889,5.2,11376,2.3,32503,6.5,18.0,40.05461396,27,29.19161964,24.30555556,66.66666667,29.19161964,27,25.7,8.5,0.3307393,0,24.30555556,35,0.25,0.0,0,0,0,0,0,0,52169100000.0,1068778,145545.8,7.343241784,3.5,3.5,3.6,11.9,9.0,7.2,6.5,5.8,5.4,5.0,4.6,4.4,0.861,0.006,0.037,0.008,0.061,,0.028,19.5,17.6,50.3,57153,12.6
NC,2020-04-30,10507,385,2899,132,43,51,31,31,-29.0,-7.0,-17.0,-45.0,-44.0,18.0,Trade Transportation and Utilities,851.5,No,No,No,52752,MostR,2,R,24.4,41.8,4660377,3781646,81.1,434180,9.3,47381,1.0,85152,1.8,58980,1.3,253038,5.4,24.5,11.81737945,47,13.22991613,22.22222222,0.0,13.22991613,43,24.8,7.25,0.29233871,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0,587711000000.0,10488084,48617.91,215.724699,3.6,3.6,4.3,12.9,12.8,7.5,8.5,6.5,7.2,6.2,6.2,6.2,0.627,0.209,0.097,0.029,0.011,0.001,0.026,16.7,18.1,48.6,57341,13.6
ND,2020-04-30,1067,19,358,4,43,48,nan,nan,-24.0,-2.0,72.0,-19.0,-34.0,14.0,Trade Transportation and Utilities,92.8,No,No,No,61843,AllR,1,R,18.6,32.6,398937,325252,81.5,34507,8.6,2150,0.5,13631,3.4,4474,1.1,18923,4.7,17.1,21.29263895,44,16.65569462,30.55555556,16.66666667,16.65569462,35,24.12,7.25,0.300580431,0,30.55555556,25,0.0,0.0,0,0,0,0,0,0,57036800000.0,762062,69000.8,11.04424876,2.3,2.2,2.0,9.1,9.1,7.4,6.6,5.0,4.4,4.7,4.5,4.1,0.841,0.024,0.04,0.014,0.052,,0.026,15.8,19.6,51.0,64577,10.6
NE,2020-04-30,4332,70,2142,24,43,48,nan,nan,-22.0,0.0,105.0,-6.0,-40.0,15.0,Trade Transportation and Utilities,198.6,No,No,No,59970,AllR,1,R,18.8,33.6,980914,803715,81.9,88467,9.0,6531,0.7,26141,2.7,12516,1.3,43544,4.4,18.6,49.47375558,22,42.86571119,38.88888889,66.66666667,42.86571119,21,24.75,9.0,0.363636364,0,38.88888889,19,0.0,0.0,0,0,0,0,0,0,127037000000.0,1934408,76824.17,25.17967978,2.9,2.9,4.0,8.7,5.3,5.5,4.9,4.0,3.6,3.0,3.0,3.0,0.785,0.048,0.113,0.024,0.008,,0.021,16.1,20.6,50.0,63229,9.9
NH,2020-04-30,2146,72,476,21,43,48,33,33,-35.0,-13.0,-10.0,-42.0,-46.0,21.0,Trade Transportation and Utilities,138.5,No,No,No,73381,AllD,5,D,24.4,33.7,707037,571653,80.9,55820,7.9,5806,0.8,19003,2.7,9493,1.3,45262,6.4,27.3,49.36289059,23,9.894227319,38.19444444,100.0,9.894227319,49,25.5,7.25,0.284313725,0,38.19444444,22,0.25,0.0,0,0,1,1,0,0,88595000000.0,1359711,8952.65,151.8780473,2.6,2.6,2.4,17.1,15.4,9.2,8.0,6.6,5.8,4.2,3.9,4.0,0.898,0.013,0.039,0.026,,,0.021,18.6,15.2,49.5,77933,7.3
NJ,2020-04-30,118652,7228,18663,1860,43,52,40,40,-56.0,-23.0,-38.0,-67.0,-59.0,28.0,Trade Transportation and Utilities,893.7,Yes,Yes,Yes,80088,AllD,5,D,28.7,50.2,4303118,3071526,71.4,344699,8.0,494549,11.5,125663,2.9,78251,1.8,188430,4.4,31.7,71.79705545,12,37.61338857,77.77777778,100.0,37.61338857,24,28.49,10.0,0.351000351,0,77.77777778,6,0.5,0.0,1,1,0,1,0,0,644841000000.0,8882190,7354.22,1207.767785,3.8,3.8,3.7,16.3,15.4,16.8,14.2,11.1,6.7,8.0,10.2,7.6,0.545,0.124,0.21,0.096,0.001,,0.024,16.6,18.0,48.9,85751,9.2
NM,2020-04-30,3411,123,1032,45,43,50,37,37,-25.0,0.0,9.0,-22.0,-45.0,17.0,Government,189.7,No,No,No,46744,MostD,4,D,22.1,36.9,880271,706167,80.2,88207,10.0,10139,1.2,18023,2.0,15267,1.7,42468,4.8,22.1,56.91178131,18,40.17978837,30.55555556,100.0,40.17978837,23,25.25,7.5,0.297029703,1,30.55555556,25,0.0,0.0,0,0,0,0,0,0,104002000000.0,2096829,121298.15,17.28657032,4.8,4.8,6.3,11.9,9.1,8.4,12.7,11.4,9.9,8.1,7.2,8.2,0.367,0.017,0.495,0.016,0.087,,0.018,18.0,18.8,49.4,51945,18.2
NV,2020-04-30,5053,243,845,48,43,49,nan,30,-36.0,-8.0,-36.0,-50.0,-52.0,19.0,Leisure and Hospitality,356.4,No,No,Yes,58003,MostD,4,D,23.9,57.2,1351950,1056958,78.2,139518,10.3,46574,3.4,25750,1.9,29612,2.2,53538,4.0,24.3,32.64858814,33,28.50131998,36.11111111,33.33333333,28.50131998,28,25.07,8.25,0.32907858,0,36.11111111,23,0.0,0.0,0,0,0,0,0,0,177615000000.0,3080156,109781.18,28.05723167,3.6,3.6,6.9,30.1,25.3,15.2,14.2,13.3,12.5,11.9,10.4,9.2,0.478,0.092,0.293,0.085,0.009,0.006,0.037,16.2,18.7,50.2,63276,12.5
NY,2020-04-30,309696,23616,41764,3404,43,54,39,39,-58.0,-21.0,-45.0,-69.0,-58.0,26.0,Government,"1,488.10",Yes,Yes,Yes,64894,AllD,5,D,35.0,53.1,9246571,4913896,53.1,601311,6.5,2591512,28.0,569444,6.2,181239,2.0,389169,4.2,33.3,73.60302802,11,51.36463962,69.44444444,100.0,51.36463962,16,28.9,11.1,0.384083045,0,69.44444444,10,0.5,0.0,1,0,0,1,1,1,1731910000000.0,"19453561""",47126.4,412.7953971,3.8,3.7,4.1,15.3,14.5,15.6,15.9,12.5,9.7,9.2,8.4,8.2,0.552,0.14,0.193,0.086,0.002,,0.027,16.9,17.2,48.6,72108,13.0
OH,2020-04-30,18027,975,3333,319,43,52,37,37,-29.0,-5.0,10.0,-28.0,-46.0,19.0,Trade Transportation and Utilities,"1,028.40",No,No,No,54021,Tie,3,R,23.5,43.0,5442764,4526389,83.2,423056,7.8,87570,1.6,121728,2.2,63706,1.2,220315,4.0,23.5,54.82124758,20,42.24152052,22.22222222,100.0,42.24152052,22,23.61,8.55,0.362134689,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0,698458000000.0,11689100,40860.69,286.0720169,4.1,4.1,5.8,17.6,13.9,11.0,9.0,8.9,8.3,6.1,5.7,5.5,0.786,0.122,0.04,0.023,0.001,,0.028,17.5,18.2,49.0,58642,13.1
OK,2020-04-30,3618,222,601,43,43,28,29,nan,-10.0,10.0,68.0,-9.0,-38.0,12.0,Government,356.6,No,No,No,50051,AllR,1,R,21.5,30.2,1748344,1440542,82.4,174462,10.0,7428,0.4,31322,1.8,24342,1.4,70248,4.0,21.7,26.42096103,38,15.37399421,30.55555556,33.33333333,15.37399421,40,24.37,7.25,0.297496922,0,30.55555556,25,0.0,0.0,0,0,0,0,0,0,206058000000.0,3956971,68594.92,57.6860648,3.3,3.2,2.9,14.7,12.6,6.4,7.1,5.7,5.4,6.2,6.1,5.3,0.65,0.069,0.111,0.021,0.077,0.001,0.071,16.1,20.0,49.6,54449,15.2
OR,2020-04-30,2510,103,383,20,43,53,nan,38,-31.0,-4.0,26.0,-39.0,-47.0,16.0,Trade Transportation and Utilities,359.3,Yes,Yes,Yes,60212,AllD,5,D,24.4,46.1,1895393,1356677,71.6,188867,10.0,85300,4.5,71623,3.8,63163,3.3,129763,6.8,23.7,82.02931755,6,62.75461933,83.33333333,100.0,62.75461933,10,27.34,11.25,0.411485004,0,83.33333333,3,0.5,0.5,0,1,1,1,1,1,251605000000.0,4217737,95988.01,43.94024837,3.3,3.3,3.5,14.9,14.3,11.6,10.4,8.5,7.9,6.8,6.0,6.4,0.75,0.018,0.134,0.047,0.009,0.003,0.04,18.2,16.9,49.5,67058,11.4
PA,2020-04-30,48224,2580,9890,857,43,55,38,29,-42.0,-19.0,-29.0,-52.0,-51.0,22.0,Education and Health Services,1307,No,No,No,59195,MostD,4,R,26.4,45.1,6032013,4593109,76.1,511844,8.5,337633,5.6,223371,3.7,85632,1.4,280424,4.6,26.9,46.08646707,24,16.037179,22.22222222,100.0,16.037179,36,24.24,7.25,0.299092409,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0,813514000000.0,12801989,44742.7,286.1246416,4.7,4.7,5.8,16.1,13.4,13.2,12.5,10.4,8.3,7.4,6.8,6.7,0.76,0.104,0.078,0.035,0.001,0.001,0.023,18.7,17.0,49.0,63463,12.0
RI,2020-04-30,8621,266,2365,77,43,52,nan,33,-39.0,-15.0,-17.0,-62.0,-50.0,22.0,Education and Health Services,110.7,Yes,Yes,Yes,19343,AllD,5,D,23.9,44.9,515872,413105,80.1,44694,8.7,12915,2.5,18556,3.6,6172,1.2,20430,4.0,24.8,79.77563872,7,62.93802726,76.38888889,100.0,62.93802726,9,25.49,10.5,0.411926246,0,76.38888889,7,0.5,0.5,1,1,0,1,0,0,63541100000.0,1059361,1033.81,1024.715373,3.4,3.4,4.7,18.1,16.4,12.6,11.3,12.9,10.5,7.1,7.3,8.1,0.705,0.059,0.166,0.033,0.002,,0.033,17.7,15.7,48.8,71169,10.8
SC,2020-04-30,6095,244,1178,94,43,48,nan,23,-21.0,-1.0,-24.0,-23.0,-39.0,16.0,Trade Transportation and Utilities,410.6,No,No,No,63870,AllR,1,R,24.4,34.4,2215014,1825021,82.4,208135,9.4,11816,0.5,46140,2.1,32002,1.4,91900,4.1,24.6,14.3839409,46,12.59626715,30.55555556,0.0,12.59626715,44,24.93,7.25,0.29081428,0,30.55555556,25,0.0,0.0,0,0,0,0,0,0,246309000000.0,5148714,30060.7,171.277249,2.4,2.5,3.2,12.8,12.4,8.7,8.7,6.4,5.2,4.2,4.4,4.6,0.637,0.262,0.057,0.017,0.003,,0.022,18.2,17.9,48.3,56227,13.8
SD,2020-04-30,2450,17,494,8,43,28,nan,nan,-17.0,8.0,151.0,-4.0,-36.0,13.0,Trade Transportation and Utilities,86.3,No,No,No,50570,AllR,1,R,16.6,29.8,436525,350530,80.3,37944,8.7,2448,0.6,15269,3.5,5278,1.2,25056,5.7,17.0,35.7814787,31,51.78888054,22.22222222,33.33333333,51.78888054,15,23.63,9.1,0.385103682,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0,53305700000.0,884659,75811.0,11.66926963,3.4,3.3,3.1,10.9,9.4,7.2,6.4,4.8,4.1,3.7,3.5,3.0,0.819,0.022,0.037,0.013,0.084,,0.024,17.4,20.5,50.8,59533,11.9
TN,2020-04-30,10506,200,2337,28,43,49,29,28,-18.0,2.0,0.0,-25.0,-39.0,14.0,Trade Transportation and Utilities,653.1,No,No,No,56521,AllR,1,R,25.3,40.9,3003226,2503496,83.4,269408,9.0,21786,0.7,39970,1.3,37914,1.3,130652,4.4,25.0,21.6379482,43,21.16384461,32.63888889,11.11111111,21.16384461,31,23.28,7.25,0.311426117,0,32.63888889,24,0.0,0.25,0,0,0,0,0,0,380138000000.0,6829174,41234.9,165.616359,3.3,3.4,3.3,15.5,11.0,9.6,9.7,8.6,6.5,7.3,5.2,6.4,0.736,0.164,0.057,0.018,0.003,,0.022,16.7,18.4,48.7,56071,13.9
TX,2020-04-30,29072,828,6366,227,43,48,nan,28,-25.0,-6.0,13.0,-35.0,-45.0,18.0,Trade Transportation and Utilities,"2,549.20",No,No,No,51340,AllR,1,R,26.4,49.3,12842820,10345804,80.6,1305195,10.2,184848,1.4,196708,1.5,206213,1.6,604052,4.7,26.4,29.99579375,35,12.20960348,22.22222222,55.55555556,12.20960348,46,25.01,7.25,0.289884046,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0,1886960000000.0,28995881,261231.71,110.996789,3.5,3.5,5.1,13.5,13.0,8.4,8.0,6.8,8.3,6.9,8.1,7.2,0.411,0.117,0.4,0.05,0.003,0.001,0.019,12.9,21.2,49.6,64034,13.6
UT,2020-04-30,4672,46,1051,11,43,55,nan,34,-24.0,-5.0,70.0,-38.0,-47.0,17.0,Trade Transportation and Utilities,295.2,No,No,No,59206,AllR,1,R,21.6,43.3,1433444,1088975,76.0,159902,11.2,35349,2.5,36297,2.5,24655,1.7,88266,6.2,21.7,27.90448629,36,11.49123664,38.88888889,33.33333333,11.49123664,47,25.16,7.25,0.288155803,0,38.88888889,19,0.0,0.0,0,0,0,0,0,0,188501000000.0,3205958,82169.62,39.01634205,2.5,2.5,3.8,10.4,8.6,5.3,4.5,4.1,5.0,4.1,4.3,3.6,0.778,0.01,0.144,0.023,0.01,0.008,0.027,11.4,24.0,50.2,75780,8.9
VA,2020-04-30,15846,552,4847,177,43,49,nan,31,-38.0,-18.0,-30.0,-52.0,-50.0,22.0,Professional and Business Services,779.6,No,No,No,57513,MostD,4,D,27.8,47.1,4152433,3205870,77.2,382324,9.2,184405,4.4,99787,2.4,72326,1.7,207721,5.0,28.4,1.851851852,51,0.0,5.555555556,0.0,0.0,51,27.83,7.25,0.260510241,0,5.555555556,49,0.0,0.0,0,0,0,0,0,0,554211000000.0,8535519,39490.09,216.143316,2.7,2.6,3.3,11.2,9.0,8.1,7.9,6.1,6.2,5.2,4.8,4.9,0.613,0.189,0.096,0.067,0.002,0.001,0.033,15.9,18.2,49.2,76456,9.9
VT,2020-04-30,866,48,41,6,43,48,36,37,-43.0,-21.0,-19.0,-54.0,-51.0,21.0,Education and Health Services,65.4,No,Yes,Yes,68358,AllD,5,D,23.3,31.3,321624,244038,75.9,27960,8.7,3971,1.2,17852,5.6,5528,1.7,22275,6.9,22.9,79.22499219,8,62.67497656,75.0,100.0,62.67497656,11,26.21,10.78,0.411293399,0,75.0,8,0.5,0.0,0,1,1,0,0,0,34785100000.0,"623,989",9216.66,67.70229129,2.4,2.4,3.1,16.5,12.8,9.5,8.3,4.8,4.3,3.2,3.0,3.1,0.928,0.011,0.018,0.016,0.007,,0.02,20.1,14.8,49.5,63001,10.2
WA,2020-04-30,14814,822,1833,105,43,61,36,38,-33.0,-7.0,17.0,-52.0,-52.0,20.0,Trade Transportation and Utilities,654.7,Yes,Yes,Yes,71535,AllD,5,D,27.6,48.6,3485339,2506808,71.9,346825,10.0,225913,6.5,125965,3.6,72652,2.1,207176,5.9,27.6,89.35855991,3,97.24234639,70.83333333,100.0,97.24234639,3,27.63,12.0,0.434310532,1,70.83333333,9,0.25,0.25,1,1,0,0,1,0,599608000000.0,7614893,66455.52,114.5863128,3.9,3.8,5.1,16.3,15.1,10.0,10.2,8.4,8.3,6.0,5.7,7.1,0.675,0.038,0.13,0.089,0.011,0.006,0.05,15.9,18.3,50.0,78687,9.8
WI,2020-04-30,6973,316,1848,59,43,49,36,36,-32.0,-5.0,94.0,-25.0,-42.0,18.0,Manufacturing,484.2,No,No,No,43469,MostD,4,R,21.5,34.2,2920388,2369044,81.1,232054,7.9,51391,1.8,89410,3.1,47005,1.6,131484,4.5,22.0,24.74652558,39,14.51735453,26.38888889,33.33333333,14.51735453,42,24.54,7.25,0.295436023,0,26.38888889,34,0.5,0.0,0,0,0,0,0,0,347306000000.0,5822434,54157.8,107.5086876,3.5,3.5,3.1,13.6,12.1,8.6,7.1,6.3,5.4,6.0,5.3,5.5,0.811,0.062,0.071,0.03,0.007,,0.02,17.5,17.8,49.7,64168,10.4
WV,2020-04-30,1126,44,145,13,43,45,37,37,-22.0,-4.0,-14.0,-17.0,-40.0,15.0,Government,152.1,No,No,No,70979,AlllR,1,R,23.9,35.5,727792,600897,82.6,66722,9.2,6627,0.9,20940,2.9,8393,1.2,24213,3.3,25.8,44.86536353,25,48.48497949,30.55555556,55.55555556,48.48497949,17,23.2,8.75,0.377155172,0,30.55555556,25,0.0,0.0,0,0,0,0,0,0,78189500000.0,1792147,24038.21,74.55409533,5.0,4.9,6.0,15.9,12.9,10.5,10.0,8.9,8.6,6.4,6.3,6.3,0.925,0.032,0.014,0.008,0.002,,0.018,20.5,16.5,49.4,48850,16.0
WY,2020-04-30,559,7,106,0,43,48,nan,nan,-20.0,1.0,51.0,-1.0,-35.0,12.0,Trade Transportation and Utilities,532.8,No,No,No,59305,AllR,1,R,17.3,46.8,287175,222984,77.6,28692,10.0,3774,1.3,11285,3.9,5589,1.9,14851,5.2,17.8,31.25456337,34,15.98591234,22.22222222,55.55555556,15.98591234,37,24.25,7.25,0.298969072,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0,39646200000.0,578759,97093.14,5.96086397,3.7,3.7,3.8,9.6,8.8,7.6,7.1,6.6,6.1,5.5,5.1,4.8,0.838,0.01,0.101,0.006,0.022,,0.021,17.1,19.4,51.1,65003,10.1
